year,state,age,gender,race,voter_registration
2020,Alaska,42,Female,100,1.0
2020,Alaska,21,Female,100,0.0
2020,Alaska,36,Male,652,1.0
2020,Alaska,46,Female,200,0.0
2020,Alaska,34,Female,100,0.0
2020,Alaska,18,Female,200,0.0
2020,Alaska,18,Male,100,0.0
2020,Alaska,45,Female,100,1.0
2020,Alaska,25,Female,100,1.0
2020,Alaska,24,Male,802,1.0
2020,Alaska,37,Female,100,0.0
2020,Alaska,67,Female,100,0.0
2020,Alaska,70,Male,100,1.0
2020,Alaska,53,Male,100,0.0
2020,Alaska,34,Male,100,0.0
2020,Alaska,54,Female,100,0.0
2020,Alaska,39,Male,100,0.0
2020,Alaska,21,Male,200,1.0
2020,Alaska,54,Female,200,0.0
2020,Alaska,25,Female,100,1.0
2020,Alaska,25,Female,100,1.0
2020,Alaska,34,Female,300,1.0
2020,Alaska,51,Male,100,1.0
2020,Alaska,52,Female,300,1.0
2020,Alaska,46,Female,100,1.0
2020,Alaska,26,Male,100,0.0
2020,Alaska,21,Male,100,1.0
2020,Alaska,24,Female,100,1.0
2020,Alaska,29,Male,100,1.0
2020,Alaska,36,Female,100,0.0
2020,Alaska,46,Male,100,0.0
2020,Alaska,65,Female,100,0.0
2020,Alaska,30,Female,100,1.0
2020,Alaska,52,Female,100,0.0
2020,Alaska,30,Female,100,1.0
2020,Alaska,38,Female,100,1.0
2020,Alaska,49,Male,100,0.0
2020,Alaska,49,Female,100,0.0
2020,Alaska,18,Male,100,0.0
2020,Alaska,27,Male,100,1.0
2020,Alaska,22,Female,802,0.0
2020,Alaska,33,Female,100,0.0
2020,Alaska,47,Male,100,1.0
2020,Alaska,54,Male,100,1.0
2020,Alaska,32,Male,100,1.0
2020,Alaska,73,Female,651,0.0
2020,Alaska,75,Male,651,0.0
2020,Alaska,33,Male,651,0.0
2020,Alaska,33,Male,651,0.0
2020,Alaska,77,Male,802,0.0
2020,Alaska,73,Female,802,1.0
2020,Alaska,64,Male,300,1.0
2020,Alaska,70,Female,300,1.0
2020,Alaska,44,Male,300,1.0
2020,Alaska,57,Female,100,1.0
2020,Alaska,44,Female,300,1.0
2020,Alaska,28,Male,651,0.0
2020,Alaska,30,Female,300,1.0
2020,Alaska,30,Male,300,1.0
2020,Alaska,20,Female,651,1.0
2020,Alaska,22,Female,651,0.0
2020,Alaska,25,Male,100,0.0
2020,Alaska,29,Male,651,0.0
2020,Alaska,29,Female,802,1.0
2020,Alaska,53,Male,802,1.0
2020,Alaska,59,Male,100,0.0
2020,Alaska,53,Female,100,0.0
2020,Alaska,20,Male,100,0.0
2020,Alaska,39,Male,300,1.0
2020,Alaska,57,Male,100,0.0
2020,Alaska,72,Female,100,1.0
2020,Alaska,40,Male,300,0.0
2020,Alaska,64,Female,100,1.0
2020,Alaska,32,Female,300,0.0
2020,Alaska,27,Female,100,0.0
2020,Alaska,62,Male,100,0.0
2020,Alaska,35,Male,300,1.0
2020,Alaska,27,Female,100,1.0
2020,Alaska,20,Male,300,0.0
2020,Alaska,54,Male,100,1.0
2020,Alaska,31,Female,300,1.0
2020,Alaska,48,Female,802,1.0
2020,Alaska,42,Male,100,0.0
2020,Alaska,37,Male,100,1.0
2020,Alaska,31,Female,100,1.0
2020,Alaska,70,Male,300,1.0
2020,Alaska,25,Male,300,1.0
2020,Alaska,80,Male,300,0.0
2020,Alaska,31,Female,808,1.0
2020,Alaska,19,Male,100,1.0
2020,Alaska,62,Female,100,0.0
2020,Alaska,59,Male,100,0.0
2020,Alaska,21,Male,300,1.0
2020,Alaska,20,Male,300,1.0
2020,Alaska,65,Female,300,0.0
2020,Alaska,39,Female,300,0.0
2020,Alaska,24,Male,300,0.0
2020,Alaska,29,Female,300,1.0
2020,Alaska,36,Female,300,1.0
2020,Alaska,49,Male,300,1.0
2020,Alaska,63,Male,300,0.0
2020,Alaska,42,Male,300,0.0
2020,Alaska,85,Male,300,1.0
2020,Alaska,34,Male,300,0.0
2020,Alaska,41,Female,300,0.0
2020,Alaska,27,Male,100,1.0
2020,Arizona,36,Female,200,1.0
2020,Arizona,48,Female,200,1.0
2020,Arizona,46,Male,200,0.0
2020,Arizona,38,Male,100,0.0
2020,Arizona,23,Male,100,0.0
2020,Arizona,32,Male,100,0.0
2020,Arizona,34,Male,100,0.0
2020,Arizona,49,Male,100,0.0
2020,Arizona,30,Male,100,0.0
2020,Arizona,26,Female,100,0.0
2020,Arizona,21,Male,100,0.0
2020,Arizona,40,Male,100,1.0
2020,Arizona,36,Male,100,0.0
2020,Arizona,66,Male,100,0.0
2020,Arizona,29,Male,100,0.0
2020,Arizona,22,Female,100,1.0
2020,Arizona,30,Male,100,1.0
2020,Arizona,56,Male,200,1.0
2020,Arizona,62,Male,100,1.0
2020,Arizona,18,Female,100,0.0
2020,Arizona,36,Male,100,0.0
2020,Arizona,28,Female,100,1.0
2020,Arizona,30,Female,100,1.0
2020,Arizona,35,Male,100,0.0
2020,Arizona,41,Female,100,0.0
2020,Arizona,43,Male,100,1.0
2020,Arizona,66,Female,100,0.0
2020,Arizona,34,Male,100,1.0
2020,Arizona,70,Male,100,0.0
2020,Arizona,77,Male,100,1.0
2020,Arizona,46,Female,651,0.0
2020,Arizona,39,Male,100,0.0
2020,Arizona,36,Female,100,0.0
2020,Arizona,35,Male,100,1.0
2020,Arizona,23,Male,100,1.0
2020,Arizona,57,Male,100,1.0
2020,Arizona,60,Male,100,0.0
2020,Arizona,36,Male,200,1.0
2020,Arizona,39,Female,200,1.0
2020,Arizona,19,Male,200,0.0
2020,Arizona,69,Female,100,0.0
2020,Arizona,55,Male,100,1.0
2020,Arizona,62,Female,300,1.0
2020,Arizona,47,Female,100,0.0
2020,Arizona,43,Male,300,0.0
2020,Arizona,63,Male,100,0.0
2020,Arizona,40,Female,100,0.0
2020,Arizona,42,Male,100,0.0
2020,Arizona,32,Male,100,1.0
2020,Arizona,21,Male,100,0.0
2020,Arizona,46,Male,200,0.0
2020,Arizona,29,Female,100,0.0
2020,Arizona,67,Male,100,1.0
2020,Arizona,63,Female,801,1.0
2020,Arizona,61,Male,200,0.0
2020,Arizona,54,Male,100,0.0
2020,Arizona,48,Male,100,0.0
2020,Arizona,85,Female,100,0.0
2020,Arizona,54,Female,100,1.0
2020,Arizona,62,Male,100,0.0
2020,Arizona,19,Male,100,0.0
2020,Arizona,60,Female,100,0.0
2020,Arizona,52,Male,100,0.0
2020,Arizona,58,Male,100,1.0
2020,Arizona,19,Male,100,0.0
2020,Arizona,22,Male,100,0.0
2020,Arizona,48,Female,100,0.0
2020,Arizona,44,Male,100,0.0
2020,Arizona,32,Female,100,0.0
2020,Arizona,55,Male,100,0.0
2020,Arizona,45,Female,100,1.0
2020,Arizona,71,Male,100,0.0
2020,Arizona,18,Male,100,0.0
2020,Arizona,22,Female,100,1.0
2020,Arizona,25,Male,100,0.0
2020,Arizona,18,Male,805,0.0
2020,Arizona,35,Male,802,0.0
2020,Arizona,24,Male,802,0.0
2020,Arizona,30,Male,100,0.0
2020,Arizona,29,Male,100,0.0
2020,Arizona,85,Female,100,1.0
2020,Arizona,19,Male,100,1.0
2020,Arizona,27,Male,100,0.0
2020,Arizona,35,Male,100,0.0
2020,Arizona,35,Female,100,0.0
2020,Arizona,51,Male,100,0.0
2020,Arizona,20,Male,100,1.0
2020,Arizona,23,Male,100,0.0
2020,Arizona,22,Female,100,0.0
2020,Arizona,47,Male,100,1.0
2020,Arizona,22,Male,100,0.0
2020,Arizona,23,Male,100,0.0
2020,Arizona,28,Female,100,0.0
2020,Arizona,64,Female,100,0.0
2020,Arizona,28,Male,100,0.0
2020,Arizona,27,Female,100,1.0
2020,Arizona,20,Female,100,0.0
2020,Arizona,33,Female,100,0.0
2020,Arizona,30,Male,100,0.0
2020,Arizona,35,Male,100,0.0
2020,Arizona,22,Male,100,1.0
2020,Arizona,34,Male,100,1.0
2020,Arizona,21,Female,200,1.0
2020,Arizona,22,Male,100,1.0
2020,Arizona,31,Female,100,0.0
2020,Arizona,22,Male,100,0.0
2020,Arizona,35,Male,100,1.0
2020,Arizona,85,Female,300,1.0
2020,Arizona,63,Female,100,0.0
2020,Arizona,30,Female,100,0.0
2020,Arizona,28,Male,100,0.0
2020,Arizona,66,Male,300,0.0
2020,Arizona,20,Male,100,0.0
2020,Arizona,23,Male,100,0.0
2020,Arizona,48,Male,651,0.0
2020,Arizona,72,Female,651,0.0
2020,Arizona,79,Male,651,0.0
2020,Arizona,33,Female,100,0.0
2020,Arizona,32,Male,100,0.0
2020,Arizona,25,Male,100,1.0
2020,Arizona,79,Male,100,0.0
2020,Arizona,20,Female,100,0.0
2020,Arizona,66,Female,652,0.0
2020,Arizona,28,Male,100,0.0
2020,Arizona,63,Male,100,0.0
2020,Arizona,38,Female,100,1.0
2020,Arizona,42,Female,100,0.0
2020,Arizona,18,Male,100,0.0
2020,Arizona,49,Female,100,0.0
2020,Arizona,25,Male,100,0.0
2020,Arizona,36,Female,100,0.0
2020,Arizona,68,Male,100,0.0
2020,Arizona,40,Male,100,0.0
2020,Arizona,64,Male,100,0.0
2020,Arizona,54,Male,100,0.0
2020,Arizona,53,Female,300,0.0
2020,Arizona,47,Female,100,0.0
2020,Arizona,60,Male,100,1.0
2020,Arizona,70,Female,100,0.0
2020,Arizona,59,Female,100,0.0
2020,Arizona,41,Male,652,1.0
2020,Arizona,38,Female,652,1.0
2020,Arizona,57,Male,100,0.0
2020,Arizona,50,Female,100,0.0
2020,Arizona,52,Female,100,0.0
2020,Arizona,44,Male,100,0.0
2020,Arizona,19,Male,100,0.0
2020,Arizona,20,Female,100,0.0
2020,Arizona,68,Female,100,0.0
2020,Arizona,71,Male,100,0.0
2020,Arizona,49,Female,100,0.0
2020,Arizona,67,Male,100,0.0
2020,Arizona,79,Female,651,1.0
2020,Arizona,85,Female,100,0.0
2020,Arizona,80,Female,100,0.0
2020,Arizona,20,Male,100,0.0
2020,Arizona,25,Male,300,0.0
2020,Arizona,21,Female,300,0.0
2020,Arizona,54,Male,100,1.0
2020,Arizona,25,Male,100,0.0
2020,Arizona,33,Male,100,0.0
2020,Arizona,63,Male,100,0.0
2020,Arizona,36,Male,100,0.0
2020,Arizona,72,Female,100,0.0
2020,Arizona,19,Male,100,0.0
2020,Arizona,25,Male,100,0.0
2020,Arizona,58,Female,100,0.0
2020,Arizona,71,Female,100,1.0
